DemandArea_Id	Region	ElArea_Id	LpgArea_Id	Area_Type	Biogas	Charcoal_0	Charcoal_1	Charcoal_2	Com-Firewood_0	Com-Firewood_1	Com-Firewood_2	Electric_0	Electric_1	Electric_2	Ethanol	Free-Biomass_0	Free-Biomass_1	Free-Biomass_2	Free-Firewood_0	Free-Firewood_1	Free-Firewood_2	LPG	Pellets
31	Gatsibo	108	26	urban	0.0	0.08000000000000002	0.3300000000000001	0.02700000000000001	0.08000000000000002	0.050000000000000024	0.015000000000000005	0.015000000000000005	0.0020000000000000005	0.0010000000000000002	0.020000000000000004	0.008000000000000002	0.005000000000000001	0.003000000000000001	0.03000000000000001	0.015000000000000005	0.018000000000000002	0.30000000000000004	0.0010000000000000002
32	Gatsibo	109	26	rural	0.00019999999999999998	0.02	0.049999999999999996	0.003999999999999999	0.30999999999999994	0.22599999999999998	0.026999999999999993	0.0019999999999999996	9.999999999999999e-05	9.999999999999999e-05	0.0	0.029999999999999995	0.028999999999999998	0.013999999999999997	0.14999999999999997	0.09999999999999999	0.014599999999999998	0.02	0.002999999999999999
32	Gatsibo	109	26	urban	0.0	0.07999999999999999	0.32999999999999996	0.026999999999999996	0.07999999999999999	0.04999999999999998	0.014999999999999998	0.014999999999999998	0.0019999999999999996	0.0009999999999999998	0.019999999999999997	0.007999999999999998	0.004999999999999999	0.002999999999999999	0.029999999999999995	0.014999999999999998	0.017999999999999995	0.29999999999999993	0.0009999999999999998
33	Gatsibo	106	26	rural	0.0002	0.02	0.05000000000000001	0.004	0.31000000000000005	0.226	0.027000000000000003	0.002	0.0001	0.0001	0.0	0.030000000000000002	0.029	0.013999999999999999	0.15000000000000002	0.10000000000000002	0.0146	0.02	0.002999999999999999
33	Gatsibo	106	26	urban	0.0	0.08000000000000002	0.33	0.027000000000000003	0.08000000000000002	0.05	0.015	0.015	0.002	0.001	0.020000000000000004	0.008	0.005000000000000001	0.003	0.03	0.015	0.018000000000000002	0.3	0.001
34	Gatsibo	122	26	rural	0.0002	0.02	0.04999999999999999	0.004	0.31	0.22599999999999995	0.026999999999999993	0.002	0.0001	0.0001	0.0	0.029999999999999995	0.029000000000000005	0.013999999999999999	0.15	0.09999999999999998	0.014599999999999998	0.02	0.003
34	Gatsibo	122	26	urban	0.0	0.08	0.32999999999999996	0.026999999999999993	0.08	0.049999999999999996	0.014999999999999996	0.014999999999999996	0.0019999999999999996	0.0009999999999999998	0.02	0.007999999999999998	0.005	0.0029999999999999996	0.029999999999999992	0.014999999999999996	0.017999999999999995	0.29999999999999993	0.0009999999999999998
35	Gatsibo	41	26	rural	0.00019999999999999998	0.02	0.049999999999999996	0.003999999999999999	0.3099999999999999	0.226	0.026999999999999993	0.0019999999999999996	9.999999999999999e-05	9.999999999999999e-05	0.0	0.029999999999999992	0.028999999999999998	0.013999999999999999	0.14999999999999997	0.09999999999999999	0.0146	0.02	0.0029999999999999996
35	Gatsibo	41	26	urban	0.0	0.08000000000000002	0.33	0.027000000000000003	0.08000000000000002	0.05000000000000001	0.015000000000000003	0.015000000000000003	0.0020000000000000005	0.0010000000000000002	0.020000000000000004	0.008000000000000002	0.005000000000000001	0.003000000000000001	0.030000000000000006	0.015000000000000003	0.018000000000000002	0.3	0.0010000000000000002
36	Gatsibo	111	26	rural	0.00019999999999999998	0.02	0.05	0.003999999999999999	0.31000000000000005	0.22599999999999998	0.027	0.0019999999999999996	9.999999999999999e-05	9.999999999999999e-05	0.0	0.029999999999999995	0.028999999999999998	0.013999999999999999	0.14999999999999994	0.1	0.014599999999999998	0.02	0.002999999999999999
36	Gatsibo	111	26	urban	0.0	0.07999999999999997	0.32999999999999996	0.026999999999999993	0.07999999999999997	0.04999999999999999	0.014999999999999994	0.014999999999999994	0.001999999999999999	0.0009999999999999996	0.019999999999999993	0.007999999999999997	0.004999999999999998	0.002999999999999999	0.02999999999999999	0.014999999999999994	0.017999999999999995	0.2999999999999999	0.0009999999999999996
37	Gatsibo	104	26	rural	0.0002	0.020000000000000004	0.049999999999999996	0.004	0.31	0.22600000000000003	0.027	0.002	0.0001	0.0001	0.0	0.029999999999999995	0.029	0.013999999999999999	0.15	0.09999999999999999	0.0146	0.020000000000000004	0.003
37	Gatsibo	104	26	urban	0.0	0.08000000000000002	0.33000000000000007	0.027000000000000003	0.08000000000000002	0.05	0.015000000000000001	0.015000000000000001	0.0020000000000000005	0.0010000000000000002	0.020000000000000004	0.008000000000000002	0.005000000000000001	0.0030000000000000005	0.030000000000000002	0.015000000000000001	0.018000000000000002	0.3	0.0010000000000000002
38	Gatsibo	120	26	rural	0.0002	0.02	0.05	0.004	0.30999999999999994	0.22599999999999995	0.026999999999999996	0.002	0.0001	0.0001	0.0	0.029999999999999995	0.028999999999999998	0.014000000000000002	0.15	0.1	0.0146	0.02	0.0029999999999999996
38	Gatsibo	120	26	urban	0.0	0.08000000000000003	0.33000000000000007	0.027000000000000003	0.08000000000000003	0.05000000000000001	0.015000000000000003	0.015000000000000003	0.002	0.001	0.020000000000000007	0.008	0.005000000000000002	0.0030000000000000005	0.030000000000000006	0.015000000000000003	0.018	0.3000000000000001	0.001
39	Gatsibo	121	26	rural	0.00020000000000000004	0.019999999999999997	0.05000000000000001	0.004000000000000001	0.31	0.226	0.027000000000000003	0.0020000000000000005	0.00010000000000000002	0.00010000000000000002	0.0	0.030000000000000002	0.029000000000000005	0.014000000000000002	0.15000000000000002	0.10000000000000002	0.014600000000000004	0.019999999999999997	0.0030000000000000005
39	Gatsibo	121	26	urban	0.0	0.08000000000000003	0.33	0.027000000000000003	0.08000000000000003	0.05000000000000002	0.015000000000000001	0.015000000000000001	0.0020000000000000005	0.0010000000000000002	0.020000000000000007	0.008000000000000002	0.005000000000000002	0.0030000000000000005	0.030000000000000002	0.015000000000000001	0.018000000000000002	0.30000000000000004	0.0010000000000000002
40	Gatsibo	115	26	rural	0.00019999999999999998	0.02	0.04999999999999999	0.003999999999999999	0.30999999999999994	0.226	0.026999999999999996	0.0019999999999999996	9.999999999999999e-05	9.999999999999999e-05	0.0	0.03	0.028999999999999998	0.013999999999999999	0.14999999999999997	0.09999999999999998	0.0146	0.02	0.003
40	Gatsibo	115	26	urban	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
41	Gatsibo	114	26	rural	0.00020000000000000004	0.020000000000000004	0.05	0.004000000000000001	0.31000000000000005	0.22600000000000003	0.027000000000000003	0.0020000000000000005	0.00010000000000000002	0.00010000000000000002	0.0	0.030000000000000002	0.029000000000000005	0.014	0.15	0.1	0.0146	0.020000000000000004	0.003
41	Gatsibo	114	26	urban	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
42	Gatsibo	101	26	rural	0.00020000000000000006	0.020000000000000007	0.05000000000000001	0.004000000000000001	0.3100000000000001	0.22600000000000003	0.027000000000000003	0.0020000000000000005	0.00010000000000000003	0.00010000000000000003	0.0	0.030000000000000006	0.029	0.014000000000000004	0.15000000000000002	0.10000000000000002	0.014600000000000002	0.020000000000000007	0.003000000000000001
42	Gatsibo	101	26	urban	0.0	0.08000000000000002	0.33	0.027	0.08000000000000002	0.05000000000000001	0.015	0.015	0.0020000000000000005	0.0010000000000000002	0.020000000000000004	0.008000000000000002	0.005000000000000001	0.0030000000000000005	0.03	0.015	0.018000000000000002	0.3	0.0010000000000000002
43	Gatsibo	112	26	rural	0.0002	0.02	0.05000000000000001	0.004	0.31	0.22599999999999998	0.026999999999999996	0.002	0.0001	0.0001	0.0	0.029999999999999995	0.029	0.014	0.15	0.10000000000000002	0.014599999999999998	0.02	0.0029999999999999996
